,lat,lon
Whitefield,12.9698,77.75
Sarjapur  Road,12.9166,77.6736
Electronic City,12.8452,77.6602
Kanakpura Road,12.8654,77.5336
Thanisandra,13.0547,77.6339
Yelahanka,13.1007,77.5963
Uttarahalli,12.9055,77.5512
Hebbal,13.0359,77.597
Marathahalli,12.9591,77.6974
Raja Rajeshwari Nagar,12.9274,77.5155
Bannerghatta Road,12.8766,77.599
Hennur Road,13.0603,77.6423
7th Phase JP Nagar,12.9024,77.5802
Haralur Road,12.9081,77.6476
Electronic City Phase II,12.8469,77.6773
Rajaji Nagar,12.9982,77.553
Chandapura,12.7968,77.6944
Bellandur,12.9304,77.6684
Hoodi,12.992,77.713
KR Puram,13.0075,77.6959
Yeshwanthpur,13.0238,77.5529
Kothanur,13.0559,77.6322
Koramangala,12.9352,77.6245
Indira Nagar,12.9784,77.6408
Malleshwaram,13.0031,77.5643
Jayanagar,12.9308,77.5802
Banashankari,12.9155,77.5736
JP Nagar,12.9076,77.5736
Peenya,13.0285,77.546
Ulsoor,12.9733,77.6204
BTM Layout,12.9166,77.6101
Ramamurthy Nagar,13.0165,77.6777
Basaveshwara Nagar,12.9847,77.5491
Chamarajpet,12.9569,77.5635
Varthur,12.9389,77.7412
Madiwala,12.9226,77.6174
Basavanagudi,12.9421,77.5658
RT Nagar,13.0108,77.5763
Domlur,12.9606,77.6416
Frazer Town,12.999,77.6124
HSR Layout,12.9121,77.6446
Banaswadi,13.0104,77.6482
Chikka Tirupathi,12.8957681,77.8671014
Lingadheeranahalli,13.0026688,77.4915418
Old Airport Road,12.9572397,77.6742818
Gandhi Bazar,12.9483481,77.5707957
Gottigere,12.8565317,77.5877237
Sarjapur,12.9116225,77.6388622
Mysore Road,12.9466619,77.5300896
Ramakrishnappa Layout,12.9778951,77.5164792
Manayata Tech Park,13.045532,77.6268185
Kengeri,12.9176571,77.4837568
Mangammanapalya,12.8998659,77.6393069
Ramagondanahalli,12.9558969,77.7405826
Kasturi Nagar,13.0044979,77.6603231
Electronics City Phase 1,12.8401734,77.6595099
Kundalahalli,12.977594,77.7155586
Chikkalasandra,12.9121916,77.5476337
Murugeshpalya,12.9589407,77.6555917
Ganga Nagar,13.0232471,77.5883569
Doddathoguru,12.8505644,77.6466948
Himagiri Meadows,12.8963003,77.5894113
Adarsh Nagar,13.0305452,77.609433
Begur Road,12.9051439,77.6276134
Govindaraja Nagar Ward,12.9684575,77.5206743
Tharabanahalli,13.101684,77.4798441
Bommanahalli,12.9089453,77.6239038
Gunjur,12.9209772,77.7361016
Devarachikkanahalli,12.9018324,77.6242228
Double Road,12.9589628,77.5933906
Hegde Nagar,13.0720352,77.6333905
Kalena Agrahara,12.8658068,77.5911918
Cholanayakanahalli,13.0364498,77.5975272
Kaval Byrasandra,13.0200235,77.6092887
ISRO Layout,12.8974283,77.5573828
Garudachar Palya,12.9861986,77.702146
EPIP Zone,12.9781922,77.7246451
Dasanapura,12.7467724,77.7742876
Kasavanhalli,12.9047595,77.6759172
Sanjay nagar,12.9578658,77.6958748
Mysore Highway,12.8822917,77.4479257
T Dasarahalli,13.0457517,77.514043
Green View Layout,13.0052378,77.6492182
Shantiniketan Layout,12.8824524,77.6024627
Nagarbhavi,12.9651215,77.5090098
Jalahalli West,13.0533332,77.5306036
Devanahalli,13.2483502,77.7134377
Byatarayanapura,13.0666526,77.591967
Akshaya Nagar,13.0195427,77.6831272
Shampura,13.0272035,77.6140682
Kadugodi,12.9957428,77.7579489
LB Shastri Nagar,12.9678103,77.6715478
Vajarahalli,12.8775221,77.5448072
Hormavu,13.016672,77.6548126
Kudlu Gate,12.8895614,77.63947
8th Phase JP Nagar,12.9112316,77.5756918
Bommasandra Industrial Area,12.8137512,77.6953367
Chandra Layout,12.9590406,77.5250913
Anandapura,13.0240094,77.6921087
Kengeri Satellite Town,12.9229728,77.4842926
Basavanapura,13.0169076,77.7207063
Dinnur,13.0229555,77.6032161
Kannamangala,13.0155506,77.7630344
Sanjeevini Nagar,12.9162583,77.5891763
Hulimavu,12.8773486,77.6028031
Mahalakshmi Layout,13.0113153,77.5446972
Yarandahalli,12.8087698,77.6673579
Hosa Road,12.8816077,77.6448181
Keshava Nagar,12.9598176,77.5335655
RMV Extension,13.0356488,77.574775
Tejaswini Nagar,12.8601269,77.6053051
Jai Bheema Nagar,12.9194294,77.6169759
Attibele,12.7751249,77.7709216
CV Raman Nagar,12.9850987,77.6631174
Nagavara,13.0374647,77.623602
Hebbal Kempapura,13.0514799,77.5933559
Vijayanagar,12.9709537,77.5373851
8th block Koramangala,12.9384223,77.6178277
Jakkuru Layout,13.075777,77.605016
Pattandur Agrahara,12.9876393,77.7377718
Ejipura,12.945245,77.6274776
Nagasandra,13.0479536,77.5001422
Langford Town,12.957998,77.6037312
Kogilu,13.103973,77.6167721
Panathur,12.9351457,77.7047541
Nagondanahalli,12.97516,77.7703403
Padmanabhanagar,12.9181024,77.5576638
1st Block Jayanagar,12.9220748,77.576059
Kammasandra,12.8607619,77.7415192
"Off Sarjapur Road,",12.9098272,77.6878438
Dasarahalli,12.9784134,77.5427194
Magadi Road,12.9756527,77.5553548
Ngef Layout,13.0377211,77.5751455
Dommasandra,12.8777098,77.7534769
Budigere,13.1351506,77.7471989
Mylasandra,12.9081751,77.4928309
Kalyan nagar,13.0221416,77.6403368
Bank Of Baroda Colony,12.893481,77.5837404
Ashwath Nagar,13.0467537,77.6321873
Ncpr Industrial Layout,12.9859964,77.7128545
OMBR Layout,13.0082113,77.652778
Anand Nagar,13.0346991,77.5944561
Kundalahalli Colony,12.9706554,77.7115645
Horamavu Agara,13.0366459,77.6548087
MCECHS  layout,13.0725802,77.6152451
